interval_start,interval_kWh
1/1/2015 0:00,1.12
1/1/2015 0:15,1.12
1/1/2015 0:30,1.2
1/1/2015 0:45,1.2
1/1/2015 1:00,1.12
1/1/2015 1:15,1.28
1/1/2015 1:30,1.04
1/1/2015 1:45,1.28
1/1/2015 2:00,1.12
1/1/2015 2:15,1.04
1/1/2015 2:30,4.08
1/1/2015 2:45,1.04
1/1/2015 3:00,1.12
1/1/2015 3:15,1.12
1/1/2015 3:30,1.12
1/1/2015 3:45,1.04
1/1/2015 4:00,1.12
1/1/2015 4:15,1.12
1/1/2015 4:30,1.12
1/1/2015 4:45,1.04
1/1/2015 5:00,1.12
1/1/2015 5:15,1.12
1/1/2015 5:30,1.52
1/1/2015 5:45,2.72
1/1/2015 6:00,3.44
1/1/2015 6:15,3.6
1/1/2015 6:30,2.8
1/1/2015 6:45,3.04
1/1/2015 7:00,4.64
1/1/2015 7:15,1.84
1/1/2015 7:30,2.24
1/1/2015 7:45,1.84
1/1/2015 8:00,1.44
1/1/2015 8:15,1.68
1/1/2015 8:30,3.04
1/1/2015 8:45,3.2
1/1/2015 9:00,3.28
1/1/2015 9:15,3.28
1/1/2015 9:30,6.48
1/1/2015 9:45,7.36
1/1/2015 10:00,7.28
1/1/2015 10:15,7.2
1/1/2015 10:30,7.2
1/1/2015 10:45,7.12
1/1/2015 11:00,7.2
1/1/2015 11:15,7.52
1/1/2015 11:30,9.44
1/1/2015 11:45,4.08
1/1/2015 12:00,3.28
1/1/2015 12:15,3.28
1/1/2015 12:30,3.28
1/1/2015 12:45,3.28
1/1/2015 13:00,3.28
1/1/2015 13:15,3.28
1/1/2015 13:30,3.28
1/1/2015 13:45,3.28
1/1/2015 14:00,3.28
1/1/2015 14:15,3.28
1/1/2015 14:30,3.28
1/1/2015 14:45,3.28
1/1/2015 15:00,3.28
1/1/2015 15:15,3.28
1/1/2015 15:30,4.4
1/1/2015 15:45,5.04
1/1/2015 16:00,3.28
1/1/2015 16:15,3.2
1/1/2015 16:30,1.76
1/1/2015 16:45,1.12
1/1/2015 17:00,1.12
1/1/2015 17:15,1.12
1/1/2015 17:30,1.04
1/1/2015 17:45,1.12
1/1/2015 18:00,1.04
1/1/2015 18:15,1.12
1/1/2015 18:30,1.04
1/1/2015 18:45,1.12
1/1/2015 19:00,1.04
1/1/2015 19:15,1.12
1/1/2015 19:30,1.04
1/1/2015 19:45,4.08
1/1/2015 20:00,1.04
1/1/2015 20:15,1.04
1/1/2015 20:30,1.12
1/1/2015 20:45,1.12
1/1/2015 21:00,1.52
1/1/2015 21:15,2.16
1/1/2015 21:30,1.68
1/1/2015 21:45,1.04
1/1/2015 22:00,1.12
1/1/2015 22:15,1.04
1/1/2015 22:30,1.36
1/1/2015 22:45,2.08
1/1/2015 23:00,1.84
1/1/2015 23:15,3.44
1/1/2015 23:30,1.84
1/1/2015 23:45,1.12
1/2/2015 0:00,1.2
1/2/2015 0:15,4.32
1/2/2015 0:30,5.28
1/2/2015 0:45,5.2
1/2/2015 1:00,5.2
1/2/2015 1:15,1.36
1/2/2015 1:30,1.12
1/2/2015 1:45,1.12
1/2/2015 2:00,1.04
1/2/2015 2:15,1.12
1/2/2015 2:30,3.76
1/2/2015 2:45,4.8
1/2/2015 3:00,3.2
1/2/2015 3:15,1.12
1/2/2015 3:30,1.12
1/2/2015 3:45,1.12
1/2/2015 4:00,1.04
1/2/2015 4:15,1.12
1/2/2015 4:30,1.2
1/2/2015 4:45,1.12
1/2/2015 5:00,1.12
1/2/2015 5:15,1.04
1/2/2015 5:30,1.12
1/2/2015 5:45,1.12
1/2/2015 6:00,1.12
1/2/2015 6:15,1.12
1/2/2015 6:30,1.28
1/2/2015 6:45,3.84
1/2/2015 7:00,1.04
1/2/2015 7:15,1.12
1/2/2015 7:30,1.2
1/2/2015 7:45,1.12
1/2/2015 8:00,1.12
1/2/2015 8:15,1.2
1/2/2015 8:30,3.44
1/2/2015 8:45,4.88
1/2/2015 9:00,6.4
1/2/2015 9:15,5.68
1/2/2015 9:30,8.32
1/2/2015 9:45,8.64
1/2/2015 10:00,11.76
1/2/2015 10:15,8.72
1/2/2015 10:30,8
1/2/2015 10:45,8.16
1/2/2015 11:00,7.6
1/2/2015 11:15,8.08
1/2/2015 11:30,7.04
1/2/2015 11:45,3.36
1/2/2015 12:00,3.28
1/2/2015 12:15,3.52
1/2/2015 12:30,3.28
1/2/2015 12:45,3.28
1/2/2015 13:00,3.28
1/2/2015 13:15,3.2
1/2/2015 13:30,3.28
1/2/2015 13:45,5.6
1/2/2015 14:00,3.68
1/2/2015 14:15,3.28
1/2/2015 14:30,3.36
1/2/2015 14:45,3.28
1/2/2015 15:00,3.28
1/2/2015 15:15,3.28
1/2/2015 15:30,3.28
1/2/2015 15:45,3.2
1/2/2015 16:00,3.28
1/2/2015 16:15,3.28
1/2/2015 16:30,1.76
1/2/2015 16:45,1.12
1/2/2015 17:00,1.12
1/2/2015 17:15,1.12
1/2/2015 17:30,1.12
1/2/2015 17:45,1.04
1/2/2015 18:00,3.44
1/2/2015 18:15,1.12
1/2/2015 18:30,1.04
1/2/2015 18:45,1.12
1/2/2015 19:00,1.04
1/2/2015 19:15,1.12
1/2/2015 19:30,1.04
1/2/2015 19:45,1.12
1/2/2015 20:00,1.12
1/2/2015 20:15,1.12
1/2/2015 20:30,1.04
1/2/2015 20:45,1.12
1/2/2015 21:00,1.12
1/2/2015 21:15,1.12
1/2/2015 21:30,3.28
1/2/2015 21:45,1.36
1/2/2015 22:00,1.12
1/2/2015 22:15,1.12
1/2/2015 22:30,1.04
1/2/2015 22:45,1.12
1/2/2015 23:00,1.12
1/2/2015 23:15,1.2
1/2/2015 23:30,1.04
1/2/2015 23:45,1.28
1/3/2015 0:00,1.68
1/3/2015 0:15,2.88
1/3/2015 0:30,5.6
1/3/2015 0:45,8.72
1/3/2015 1:00,7.04
1/3/2015 1:15,6.64
1/3/2015 1:30,7.52
1/3/2015 1:45,8.64
1/3/2015 2:00,8.96
1/3/2015 2:15,8.72
1/3/2015 2:30,8.4
1/3/2015 2:45,8.56
1/3/2015 3:00,8.56
1/3/2015 3:15,9.2
1/3/2015 3:30,8.4
1/3/2015 3:45,8.08
1/3/2015 4:00,5.52
1/3/2015 4:15,5.12
1/3/2015 4:30,2.64
1/3/2015 4:45,1.12
1/3/2015 5:00,1.12
1/3/2015 5:15,1.2
1/3/2015 5:30,1.12
1/3/2015 5:45,1.12
1/3/2015 6:00,1.04
1/3/2015 6:15,3.6
1/3/2015 6:30,1.84
1/3/2015 6:45,1.12
1/3/2015 7:00,1.04
1/3/2015 7:15,1.12
1/3/2015 7:30,1.12
1/3/2015 7:45,1.12
1/3/2015 8:00,1.04
1/3/2015 8:15,1.12
1/3/2015 8:30,2.72
1/3/2015 8:45,3.2
1/3/2015 9:00,3.28
1/3/2015 9:15,3.2
1/3/2015 9:30,3.28
1/3/2015 9:45,3.28
1/3/2015 10:00,3.28
1/3/2015 10:15,3.36
1/3/2015 10:30,3.28
1/3/2015 10:45,3.28
1/3/2015 11:00,3.28
1/3/2015 11:15,6.08
1/3/2015 11:30,3.84
1/3/2015 11:45,3.28
1/3/2015 12:00,3.28
1/3/2015 12:15,3.28
1/3/2015 12:30,3.28
1/3/2015 12:45,3.28
1/3/2015 13:00,3.28
1/3/2015 13:15,3.28
1/3/2015 13:30,3.28
1/3/2015 13:45,3.28
1/3/2015 14:00,3.28
1/3/2015 14:15,3.28
1/3/2015 14:30,3.28
1/3/2015 14:45,3.2
1/3/2015 15:00,3.28
1/3/2015 15:15,3.2
1/3/2015 15:30,3.28
1/3/2015 15:45,5.68
1/3/2015 16:00,3.2
1/3/2015 16:15,3.28
1/3/2015 16:30,1.68
1/3/2015 16:45,1.12
1/3/2015 17:00,1.12
1/3/2015 17:15,1.04
1/3/2015 17:30,1.12
1/3/2015 17:45,1.12
1/3/2015 18:00,1.04
1/3/2015 18:15,1.12
1/3/2015 18:30,1.04
1/3/2015 18:45,1.12
1/3/2015 19:00,1.12
1/3/2015 19:15,1.04
1/3/2015 19:30,3.76
1/3/2015 19:45,1.04
1/3/2015 20:00,1.12
1/3/2015 20:15,1.04
1/3/2015 20:30,1.12
1/3/2015 20:45,1.04
1/3/2015 21:00,1.12
1/3/2015 21:15,1.04
1/3/2015 21:30,1.12
1/3/2015 21:45,1.12
1/3/2015 22:00,1.04
1/3/2015 22:15,1.12
1/3/2015 22:30,1.04
1/3/2015 22:45,1.12
1/3/2015 23:00,1.12
1/3/2015 23:15,1.68
1/3/2015 23:30,3.36
