"interval_start","interval_kWh","month"
"1317","5/31/2015 23:45",1.36,"May"
"1318","5/31/2015 23:30",1.12,"May"
"1319","5/31/2015 23:15",1.04,"May"
"1320","5/31/2015 23:00",1.12,"May"
"1321","5/31/2015 22:45",3.68,"May"
"1322","5/31/2015 22:30",1.2,"May"
"1323","5/31/2015 22:15",1.12,"May"
"1324","5/31/2015 22:00",1.12,"May"
"1325","5/31/2015 21:45",1.12,"May"
"1326","5/31/2015 21:30",1.12,"May"
"1327","5/31/2015 21:15",1.12,"May"
"1328","5/31/2015 21:00",1.2,"May"
"1329","5/31/2015 20:45",1.12,"May"
"1330","5/31/2015 20:30",1.12,"May"
"1331","5/31/2015 20:15",1.12,"May"
"1332","5/31/2015 20:00",1.12,"May"
"1333","5/31/2015 19:45",1.2,"May"
"1334","5/31/2015 19:30",1.12,"May"
"1335","5/31/2015 19:15",1.12,"May"
"1336","5/31/2015 19:00",1.12,"May"
"1337","5/31/2015 18:45",1.12,"May"
"1338","5/31/2015 18:30",1.2,"May"
"1339","5/31/2015 18:15",1.12,"May"
"1340","5/31/2015 18:00",1.12,"May"
"1341","5/31/2015 17:45",1.12,"May"
"1342","5/31/2015 17:30",1.36,"May"
"1343","5/31/2015 17:15",3.2,"May"
"1344","5/31/2015 17:00",3.92,"May"
"1345","5/31/2015 16:45",5.12,"May"
"1346","5/31/2015 16:30",3.28,"May"
"1347","5/31/2015 16:15",3.2,"May"
"1348","5/31/2015 16:00",3.2,"May"
"1349","5/31/2015 15:45",3.2,"May"
"1350","5/31/2015 15:30",3.2,"May"
"1351","5/31/2015 15:15",3.2,"May"
"1352","5/31/2015 15:00",3.2,"May"
"1353","5/31/2015 14:45",3.2,"May"
"1354","5/31/2015 14:30",3.28,"May"
"1355","5/31/2015 14:15",3.2,"May"
"1356","5/31/2015 14:00",3.2,"May"
"1357","5/31/2015 13:45",3.52,"May"
"1358","5/31/2015 13:30",3.52,"May"
"1359","5/31/2015 13:15",3.44,"May"
"1360","5/31/2015 13:00",3.44,"May"
"1361","5/31/2015 12:45",3.44,"May"
"1362","5/31/2015 12:30",3.44,"May"
"1363","5/31/2015 12:15",3.44,"May"
"1364","5/31/2015 12:00",3.44,"May"
"1365","5/31/2015 11:45",3.36,"May"
"1366","5/31/2015 11:30",3.44,"May"
"1367","5/31/2015 11:15",3.36,"May"
"1368","5/31/2015 11:00",6.4,"May"
"1369","5/31/2015 10:45",3.44,"May"
"1370","5/31/2015 10:30",3.44,"May"
"1371","5/31/2015 10:15",3.44,"May"
"1372","5/31/2015 10:00",3.36,"May"
